ticker,company,fy_end,revenue_m,revenue_prior_m,revenue_prior2_m,operating_income_m,net_income_m,d_and_a_m,cash_m,total_debt_m,shares_m,price_usd,price_asof
AAPL,Apple Inc.,2025-09-27,416161.0,391035.0,383285.0,133050.0,112010.0,11698.0,39544.0,84344.0,14594.2,309.35,2026-08-21
MSFT,MICROSOFT CORP,2026-06-30,331839.0,281724.0,245122.0,155237.0,133749.0,34300.0,20935.0,40294.0,7425.5,483.24,2026-08-21
NVDA,NVIDIA CORP,2026-01-25,215938.0,130497.0,60922.0,130387.0,120067.0,2843.0,13237.0,8470.0,24200.0,214.72,2026-08-21
GOOGL,Alphabet Inc.,2025-12-31,402836.0,350018.0,307394.0,129039.0,132170.0,21136.0,55911.0,100164.0,12230.0,344.82,2026-08-21
AMZN,AMAZON COM INC,2025-12-31,716924.0,637959.0,574785.0,79975.0,77670.0,65756.0,78213.0,132995.0,10786.3,258.63,2026-08-21
META,"Meta Platforms, Inc.",2025-12-31,200966.0,164501.0,134902.0,83276.0,60458.0,18616.0,15462.0,83664.0,2574.0,549.9,2026-08-21
AMD,ADVANCED MICRO DEVICES INC,2025-12-27,34639.0,25785.0,22680.0,3694.0,4335.0,521.0,5086.0,3226.0,1632.5,473.25,2026-08-21
INTC,INTEL CORP,2025-12-27,52853.0,53101.0,54228.0,-2214.0,-267.0,10757.0,12874.0,48549.0,5044.0,90.07,2026-08-21
CRM,"Salesforce, Inc.",2026-01-31,41525.0,37895.0,34857.0,8331.0,7457.0,1200.0,8935.0,39280.0,819.0,209.17,2026-08-21
ORCL,ORACLE CORP,2026-05-31,67357.0,57399.0,52961.0,20606.0,17087.0,7623.0,31289.0,129541.0,2880.5,146.47,2026-08-21
